config,client,run_number,assignment_accuracy,warehouse_correct,estimator_correct,latency_seconds
C1,nordicsteel,8,0.5,False,True,153.2
C1,nordicsteel,9,1.0,True,True,166.2
C1,nordicsteel,9,0.5,False,True,154.9
C1,nordicsteel,10,1.0,True,True,145.6
C1,nordicsteel,10,0.5,True,False,164.0
C1,nordicsteel,11,0.5,False,True,150.6
C1,nordicsteel,12,1.0,True,True,154.3
C1,nordicsteel,13,0.5,False,True,157.8
C1,nordicsteel,14,0.5,False,True,143.3
C1,nordicsteel,15,0.5,False,True,162.0
C1,nordicsteel,16,0.0,False,False,143.1
C1,nordicsteel,17,1.0,True,True,157.9
C1,nordicsteel,18,0.0,False,False,164.4
C1,nordicsteel,19,0.5,False,True,156.9
C1,nordicsteel,20,1.0,True,True,152.5
C1,nordicsteel,21,1.0,True,True,134.8
C1,nordicsteel,22,0.5,True,False,137.8
C1,nordicsteel,23,1.0,True,True,151.9
C1,nordicsteel,24,1.0,True,True,154.5
C1,nordicsteel,25,0.5,False,True,152.2
C1,nordicsteel,26,0.0,False,False,168.3
C1,nordicsteel,27,0.5,True,False,143.6
C1,nordicsteel,28,1.0,True,True,157.5
C1,nordicsteel,29,1.0,True,True,162.3
C1,nordicsteel,30,0.5,True,False,168.5
C1,quickship,1,0.5,True,False,188.1
C1,quickship,1,0.0,False,False,153.0
C1,quickship,1,0.5,True,False,267.5
C1,quickship,2,1.0,True,True,248.6
C1,quickship,2,1.0,True,True,196.8
C1,quickship,2,1.0,True,True,285.4
C1,quickship,3,1.0,True,True,169.1
C1,quickship,3,0.0,False,False,218.0
C1,quickship,4,1.0,True,True,167.3
C1,quickship,4,0.0,False,False,221.8
C1,quickship,5,1.0,True,True,216.3
C1,quickship,5,0.0,False,False,193.9
C1,quickship,6,1.0,True,True,146.9
C1,quickship,6,0.5,False,True,218.0
C1,quickship,7,1.0,True,True,187.8
C1,quickship,7,0.5,True,False,134.3
C1,quickship,8,0.5,True,False,214.7
C1,quickship,8,0.5,False,True,147.7
C1,quickship,9,1.0,True,True,180.7
C1,quickship,9,1.0,True,True,180.6
C1,quickship,10,1.0,True,True,241.8
C1,quickship,10,1.0,True,True,183.1
C1,quickship,11,1.0,True,True,222.2
C1,quickship,12,0.5,False,True,241.5
C1,quickship,13,0.5,True,False,112.9
C1,quickship,14,0.5,True,False,205.4
C1,quickship,15,0.0,False,False,218.4
C1,quickship,16,0.5,False,True,160.3
C1,quickship,17,0.5,True,False,170.8
C1,quickship,18,1.0,True,True,178.0
C1,quickship,19,0.5,False,True,189.1
C1,quickship,20,0.5,True,False,200.1
C1,quickship,21,0.5,False,True,229.2
C1,quickship,22,0.0,False,False,145.0
C1,quickship,23,1.0,True,True,244.2
C1,quickship,24,0.0,False,False,239.9
C1,quickship,25,0.5,False,True,130.0
C1,quickship,26,1.0,True,True,154.9
C1,quickship,27,0.5,True,False,154.4
C1,quickship,28,0.5,False,True,211.8
C1,quickship,29,0.5,False,True,234.8
C1,quickship,30,0.5,True,False,340.1
C1,techparts,1,1.0,True,True,194.8
C1,techparts,1,1.0,True,True,229.3
C1,techparts,1,1.0,True,True,268.5
C1,techparts,2,1.0,True,True,186.6
C1,techparts,2,0.5,True,False,185.9
C1,techparts,2,0.0,False,False,285.9
C1,techparts,3,1.0,True,True,156.6
C1,techparts,3,0.0,False,False,155.9
C1,techparts,4,1.0,True,True,193.9
C1,techparts,4,0.5,False,True,196.0
C1,techparts,5,1.0,True,True,228.1
C1,techparts,5,0.0,False,False,161.1
C1,techparts,6,1.0,True,True,154.6
C1,techparts,6,0.5,True,False,179.4
C1,techparts,7,1.0,True,True,213.6
C1,techparts,7,0.5,False,True,194.1
C1,techparts,8,1.0,True,True,190.2
C1,techparts,8,0.5,True,False,204.8
C1,techparts,9,1.0,True,True,226.1
C1,techparts,9,0.0,False,False,228.3
C1,techparts,10,1.0,True,True,177.1
C1,techparts,10,0.5,False,True,192.7
C1,techparts,11,0.5,False,True,196.4
C1,techparts,12,0.5,True,False,172.2
C1,techparts,13,0.5,True,False,198.7
C1,techparts,14,1.0,True,True,203.7
C1,techparts,15,0.0,False,False,196.5
C1,techparts,16,0.5,True,False,196.1
C1,techparts,17,0.5,False,True,229.1
C1,techparts,18,0.5,False,True,208.1
C1,techparts,19,0.0,False,False,187.3
C1,techparts,20,0.5,False,True,201.8
C1,techparts,21,1.0,True,True,160.0
C1,techparts,22,1.0,True,True,185.3
C1,techparts,23,0.5,False,True,163.6
C1,techparts,24,0.0,False,False,218.4
C1,techparts,25,1.0,True,True,224.8
C1,techparts,26,1.0,True,True,161.5
C1,techparts,27,0.5,True,False,196.8
C1,techparts,28,0.5,True,False,148.0
C1,techparts,29,0.0,False,False,228.5
C1,techparts,30,1.0,True,True,188.9
C2,freshco,1,0.5,False,True,140.0
C2,freshco,1,0.0,False,False,293.3
C2,freshco,2,0.5,False,True,149.7
C2,freshco,3,0.0,False,False,157.4
C2,freshco,4,0.0,False,False,154.3
C2,freshco,5,0.0,False,False,148.6
C2,freshco,6,0.0,False,False,144.6
C2,freshco,7,0.0,False,False,138.8
C2,freshco,8,0.5,False,True,155.3
C2,freshco,9,0.5,False,True,147.0
C2,freshco,10,0.5,False,True,151.6
C2,greenleaf,1,1.0,True,True,197.6
C2,greenleaf,2,1.0,True,True,227.1
C2,greenleaf,3,1.0,True,True,219.7
C2,greenleaf,4,1.0,True,True,167.5
C2,greenleaf,5,1.0,True,True,161.0
C2,greenleaf,6,1.0,True,True,122.0
C2,greenleaf,7,1.0,True,True,196.5
C2,greenleaf,8,1.0,True,True,251.3
C2,greenleaf,9,1.0,True,True,185.0
C2,greenleaf,10,1.0,True,True,254.5
C2,nordicsteel,1,0.0,False,False,142.8
C2,nordicsteel,2,0.0,False,False,147.5
C2,nordicsteel,3,0.0,False,False,146.7
C2,nordicsteel,4,0.0,False,False,169.9
C2,nordicsteel,5,0.0,False,False,145.9
C2,nordicsteel,6,0.0,False,False,154.6
C2,nordicsteel,7,0.0,False,False,178.4
C2,nordicsteel,8,0.0,False,False,181.0
C2,nordicsteel,9,0.0,False,False,145.3
C2,nordicsteel,10,0.0,False,False,141.4
C2,quickship,1,0.5,False,True,147.9
C2,quickship,1,0.5,False,True,266.6
C2,quickship,2,0.5,False,True,152.9
C2,quickship,2,0.5,False,True,281.6
C2,quickship,3,0.5,False,True,154.9
C2,quickship,4,0.5,False,True,140.4
C2,quickship,5,0.5,False,True,118.9
C2,quickship,6,0.5,False,True,159.8
C2,quickship,7,0.5,False,True,136.6
C2,quickship,8,0.5,False,True,152.0
C2,quickship,9,0.5,False,True,132.6
C2,quickship,10,0.5,False,True,132.0
C2,techparts,1,0.0,False,False,179.6
C2,techparts,2,0.5,True,False,175.6
C2,techparts,3,0.5,True,False,145.7
C2,techparts,4,0.5,True,False,177.4
C2,techparts,5,0.5,True,False,152.6
C2,techparts,6,0.0,False,False,166.4
C2,techparts,7,0.5,True,False,166.8
C2,techparts,8,0.5,True,False,182.8
C2,techparts,9,0.0,False,False,191.2
C2,techparts,10,0.5,True,False,166.3
C3,freshco,1,1.0,True,True,148.4
C3,freshco,2,0.5,False,True,184.4
C3,freshco,3,1.0,True,True,159.3
C3,freshco,4,1.0,True,True,170.3
C3,freshco,5,1.0,True,True,186.8
C3,freshco,6,1.0,True,True,188.4
C3,freshco,7,1.0,True,True,142.8
C3,freshco,8,0.5,False,True,161.9
C3,freshco,9,1.0,True,True,198.1
C3,freshco,10,1.0,True,True,161.6
C3,greenleaf,1,0.5,False,True,160.6
C3,greenleaf,2,1.0,True,True,188.3
C3,greenleaf,3,1.0,True,True,169.1
C3,greenleaf,4,1.0,True,True,197.6
C3,greenleaf,5,0.5,True,False,163.0
C3,greenleaf,6,0.5,False,True,171.8
C3,greenleaf,7,0.5,False,True,183.9
C3,greenleaf,8,0.5,True,False,183.1
C3,greenleaf,9,0.5,False,True,202.8
C3,greenleaf,10,1.0,True,True,180.2
C3,nordicsteel,1,0.5,True,False,129.3
C3,nordicsteel,2,1.0,True,True,177.9
C3,nordicsteel,3,1.0,True,True,151.0
C3,nordicsteel,4,1.0,True,True,188.1
C3,nordicsteel,5,1.0,True,True,151.5
C3,nordicsteel,6,0.5,True,False,145.4
C3,nordicsteel,7,1.0,True,True,182.5
C3,nordicsteel,8,0.5,True,False,127.8
C3,nordicsteel,9,1.0,True,True,155.3
C3,nordicsteel,10,0.5,True,False,161.9
C3,quickship,1,1.0,True,True,158.5
C3,quickship,2,1.0,True,True,174.1
C3,quickship,3,1.0,True,True,174.4
C3,quickship,4,1.0,True,True,167.2
C3,quickship,5,0.5,True,False,188.5
C3,quickship,6,1.0,True,True,183.1
C3,quickship,7,1.0,True,True,171.1
C3,quickship,8,1.0,True,True,174.6
C3,quickship,9,0.5,True,False,142.5
C3,quickship,10,0.5,True,False,169.2
C3,techparts,1,1.0,True,True,166.6
C3,techparts,2,1.0,True,True,185.5
C3,techparts,3,1.0,True,True,176.6
C3,techparts,4,1.0,True,True,176.7
C3,techparts,5,1.0,True,True,175.2
C3,techparts,6,1.0,True,True,177.0
C3,techparts,7,1.0,True,True,178.7
C3,techparts,8,1.0,True,True,176.7
C3,techparts,9,1.0,True,True,174.8
C3,techparts,10,1.0,True,True,170.5
C3+C4,freshco,1,1.0,True,True,191.5
C3+C4,freshco,2,0.5,False,True,171.7
C3+C4,freshco,3,1.0,True,True,152.6
C3+C4,freshco,4,1.0,True,True,159.3
C3+C4,freshco,5,0.5,False,True,176.9
C3+C4,freshco,6,1.0,True,True,150.5
C3+C4,freshco,7,1.0,True,True,205.6
C3+C4,freshco,8,1.0,True,True,180.0
C3+C4,freshco,9,1.0,True,True,177.8
C3+C4,freshco,10,1.0,True,True,173.0
C3+C4,greenleaf,1,1.0,True,True,191.4
C3+C4,greenleaf,2,1.0,True,True,162.8
C3+C4,greenleaf,3,1.0,True,True,203.6
C3+C4,greenleaf,4,1.0,True,True,197.6
C3+C4,greenleaf,5,1.0,True,True,214.3
C3+C4,greenleaf,6,1.0,True,True,166.4
C3+C4,greenleaf,7,1.0,True,True,197.2
C3+C4,greenleaf,8,1.0,True,True,166.4
C3+C4,greenleaf,9,1.0,True,True,203.3
C3+C4,greenleaf,10,1.0,True,True,137.0
C3+C4,nordicsteel,1,1.0,True,True,222.9
C3+C4,nordicsteel,2,1.0,True,True,163.0
C3+C4,nordicsteel,3,1.0,True,True,194.9
C3+C4,nordicsteel,4,1.0,True,True,185.6
C3+C4,nordicsteel,5,1.0,True,True,208.5
C3+C4,nordicsteel,6,1.0,True,True,171.1
C3+C4,nordicsteel,7,1.0,True,True,249.0
C3+C4,nordicsteel,8,1.0,True,True,215.0
C3+C4,nordicsteel,9,1.0,True,True,184.6
C3+C4,nordicsteel,10,1.0,True,True,177.5
C3+C4,quickship,1,1.0,True,True,195.6
C3+C4,quickship,2,1.0,True,True,192.8
C3+C4,quickship,3,1.0,True,True,186.9
C3+C4,quickship,4,1.0,True,True,161.0
C3+C4,quickship,5,1.0,True,True,188.6
C3+C4,quickship,6,1.0,True,True,186.3
C3+C4,quickship,7,1.0,True,True,170.6
C3+C4,quickship,8,1.0,True,True,176.1
C3+C4,quickship,9,1.0,True,True,188.6
C3+C4,quickship,10,1.0,True,True,197.7
C3+C4,techparts,1,1.0,True,True,170.1
C3+C4,techparts,2,1.0,True,True,188.7
C3+C4,techparts,3,1.0,True,True,174.9
C3+C4,techparts,4,1.0,True,True,193.6
C3+C4,techparts,5,1.0,True,True,191.9
C3+C4,techparts,6,1.0,True,True,181.2
C3+C4,techparts,7,1.0,True,True,184.1
C3+C4,techparts,8,1.0,True,True,191.0
C3+C4,techparts,9,1.0,True,True,195.0
C3+C4,techparts,10,1.0,True,True,194.9
C4,freshco,1,1.0,True,True,147.2
C4,freshco,2,1.0,True,True,169.2
C4,freshco,3,1.0,True,True,171.6
C4,freshco,4,1.0,True,True,155.1
C4,freshco,5,1.0,True,True,162.2
C4,freshco,6,1.0,True,True,166.6
C4,freshco,7,1.0,True,True,162.6
C4,freshco,8,1.0,True,True,167.6
C4,freshco,9,1.0,True,True,168.9
C4,freshco,10,1.0,True,True,147.9
C4,greenleaf,1,1.0,True,True,157.1
C4,greenleaf,2,1.0,True,True,197.2
C4,greenleaf,3,1.0,True,True,166.8
C4,greenleaf,4,1.0,True,True,180.8
C4,greenleaf,5,1.0,True,True,153.1
C4,greenleaf,6,1.0,True,True,146.4
C4,greenleaf,7,1.0,True,True,147.2
C4,greenleaf,8,1.0,True,True,155.5
C4,greenleaf,9,1.0,True,True,197.2
C4,greenleaf,10,1.0,True,True,152.7
C4,nordicsteel,1,1.0,True,True,234.1
C4,nordicsteel,2,0.5,True,False,199.5
C4,nordicsteel,3,1.0,True,True,190.3
C4,nordicsteel,4,1.0,True,True,170.9
C4,nordicsteel,5,1.0,True,True,183.0
C4,nordicsteel,6,1.0,True,True,212.2
C4,nordicsteel,7,0.5,True,False,197.6
C4,nordicsteel,8,1.0,True,True,204.1
C4,nordicsteel,9,0.5,True,False,222.8
C4,nordicsteel,10,0.5,True,False,246.9
C4,quickship,1,1.0,True,True,137.3
C4,quickship,2,1.0,True,True,138.1
C4,quickship,3,0.5,False,True,167.8
C4,quickship,4,1.0,True,True,154.9
C4,quickship,5,1.0,True,True,220.7
C4,quickship,6,0.5,False,True,193.3
C4,quickship,7,1.0,True,True,119.2
C4,quickship,8,1.0,True,True,188.6
C4,quickship,9,1.0,True,True,180.1
C4,quickship,10,1.0,True,True,134.6
C4,techparts,1,0.5,False,True,143.6
C4,techparts,2,1.0,True,True,134.4
C4,techparts,3,1.0,True,True,143.3
C4,techparts,4,1.0,True,True,154.9
C4,techparts,5,0.5,False,True,176.4
C4,techparts,6,1.0,True,True,160.8
C4,techparts,7,1.0,True,True,148.9
C4,techparts,8,0.5,False,True,163.4
